r,g,b,name,class
255,0,0,1,Do
255,4,0,2,Do
255,8,0,3,Do
255,12,0,4,Do
255,16,0,5,Do
255,21,0,6,Do
255,25,0,7,Do
255,29,0,8,Do
255,33,0,9,Do
255,38,0,10,Do
255,0,148,326,Do
255,0,144,327,Do
255,0,140,328,Do
255,0,135,329,Do
255,0,131,330,Do
255,0,127,331,Do
255,0,123,332,Do
255,0,119,333,Do
255,0,114,334,Do
255,0,110,335,Do
255,0,106,336,Do
255,0,102,337,Do
255,0,97,338,Do
255,0,93,339,Do
255,0,89,340,Do
255,0,84,341,Do
255,0,80,342,Do
255,0,76,343,Do
255,0,72,344,Do
255,0,67,345,Do
255,0,63,346,Do
255,0,59,347,Do
255,0,55,348,Do
255,0,51,349,Do
255,0,46,350,Do
255,0,42,351,Do
255,0,38,352,Do
255,0,34,353,Do
255,0,29,354,Do
255,0,25,355,Do
255,0,21,356,Do
255,0,16,357,Do
255,0,12,358,Do
255,0,8,359,Do
255,0,4,360,Do
255,42,0,11,Cam
255,46,0,12,Cam
255,50,0,13,Cam
255,55,0,14,Cam
255,59,0,15,Cam
255,63,0,16,Cam
255,67,0,17,Cam
255,72,0,18,Cam
255,76,0,19,Cam
255,80,0,20,Cam
255,84,0,21,Cam
255,89,0,22,Cam
255,93,0,23,Cam
255,97,0,24,Cam
255,102,0,25,Cam
255,106,0,26,Cam
255,110,0,27,Cam
255,114,0,28,Cam
255,119,0,29,Cam
255,123,0,30,Cam
255,127,0,31,Cam
255,131,0,32,Cam
255,136,0,33,Cam
255,140,0,34,Cam
255,144,0,35,Cam
255,148,0,36,Cam
255,153,0,37,Cam
255,157,0,38,Cam
255,161,0,39,Cam
255,165,0,40,Cam
255,170,0,41,Cam
255,174,0,42,Cam
255,178,0,43,Cam
255,182,0,44,Cam
255,187,0,45,Cam
255,191,0,46,Vang
255,195,0,47,Vang
255,199,0,48,Vang
255,204,0,49,Vang
255,208,0,50,Vang
255,212,0,51,Vang
255,216,0,52,Vang
255,221,0,53,Vang
255,225,0,54,Vang
255,229,0,55,Vang
255,233,0,56,Vang
255,238,0,57,Vang
255,242,0,58,Vang
255,246,0,59,Vang
255,250,0,60,Vang
255,255,0,61,Vang
250,255,0,62,Vang
246,255,0,63,Vang
242,255,0,64,Vang
238,255,0,65,Vang
233,255,0,66,Vang
229,255,0,67,Vang
225,255,0,68,Vang
221,255,0,69,Vang
216,255,0,70,Vang
212,255,0,71,Luc
208,255,0,72,Luc
204,255,0,73,Luc
199,255,0,74,Luc
195,255,0,75,Luc
191,255,0,76,Luc
187,255,0,77,Luc
182,255,0,78,Luc
178,255,0,79,Luc
174,255,0,80,Luc
170,255,0,81,Luc
165,255,0,82,Luc
161,255,0,83,Luc
157,255,0,84,Luc
153,255,0,85,Luc
148,255,0,86,Luc
144,255,0,87,Luc
140,255,0,88,Luc
136,255,0,89,Luc
131,255,0,90,Luc
127,255,0,91,Luc
123,255,0,92,Luc
118,255,0,93,Luc
114,255,0,94,Luc
110,255,0,95,Luc
106,255,0,96,Luc
101,255,0,97,Luc
97,255,0,98,Luc
93,255,0,99,Luc
89,255,0,100,Luc
84,255,0,101,Luc
80,255,0,102,Luc
76,255,0,103,Luc
72,255,0,104,Luc
67,255,0,105,Luc
63,255,0,106,Luc
59,255,0,107,Luc
55,255,0,108,Luc
50,255,0,109,Luc
46,255,0,110,Luc
42,255,0,111,Luc
38,255,0,112,Luc
33,255,0,113,Luc
29,255,0,114,Luc
25,255,0,115,Luc
21,255,0,116,Luc
16,255,0,117,Luc
12,255,0,118,Luc
8,255,0,119,Luc
4,255,0,120,Luc
0,255,0,121,Luc
0,255,4,122,Luc
0,255,8,123,Luc
0,255,12,124,Luc
0,255,17,125,Luc
0,255,21,126,Luc
0,255,25,127,Luc
0,255,29,128,Luc
0,255,33,129,Luc
0,255,38,130,Luc
0,255,42,131,Luc
0,255,46,132,Luc
0,255,51,133,Luc
0,255,55,134,Luc
0,255,59,135,Luc
0,255,63,136,Luc
0,255,67,137,Luc
0,255,72,138,Luc
0,255,76,139,Luc
0,255,80,140,Luc
0,255,85,141,Luc
0,255,89,142,Luc
0,255,93,143,Luc
0,255,97,144,Luc
0,255,101,145,Luc
0,255,106,146,Luc
0,255,110,147,Luc
0,255,114,148,Luc
0,255,119,149,Luc
0,255,123,150,Luc
0,255,127,151,Luc
0,255,131,152,Luc
0,255,135,153,Luc
0,255,140,154,Luc
0,255,144,155,Luc
0,255,148,156,Lam
0,255,153,157,Lam
0,255,157,158,Lam
0,255,161,159,Lam
0,255,165,160,Lam
0,255,169,161,Lam
0,255,174,162,Lam
0,255,178,163,Lam
0,255,182,164,Lam
0,255,187,165,Lam
0,255,191,166,Lam
0,255,195,167,Lam
0,255,199,168,Lam
0,255,203,169,Lam
0,255,208,170,Lam
0,255,212,171,Lam
0,255,216,172,Lam
0,255,221,173,Lam
0,255,225,174,Lam
0,255,229,175,Lam
0,255,233,176,Lam
0,255,237,177,Lam
0,255,242,178,Lam
