r,g,b,name,class
255,0,0,1,0
255,4,0,2,0
255,8,0,3,0
255,12,0,4,0
255,16,0,5,0
255,21,0,6,0
255,25,0,7,0
255,29,0,8,0
255,33,0,9,0
255,38,0,10,0
255,0,148,326,0
255,0,144,327,0
255,0,140,328,0
255,0,135,329,0
255,0,131,330,0
255,0,127,331,0
255,0,123,332,0
255,0,119,333,0
255,0,114,334,0
255,0,110,335,0
255,0,106,336,0
255,0,102,337,0
255,0,97,338,0
255,0,93,339,0
255,0,89,340,0
255,0,84,341,0
255,0,80,342,0
255,0,76,343,0
255,0,72,344,0
255,0,67,345,0
255,0,63,346,0
255,0,59,347,0
255,0,55,348,0
255,0,51,349,0
255,0,46,350,0
255,0,42,351,0
255,0,38,352,0
255,0,34,353,0
255,0,29,354,0
255,0,25,355,0
255,0,21,356,0
255,0,16,357,0
255,0,12,358,0
255,0,8,359,0
255,0,4,360,0
255,42,0,11,1
255,46,0,12,1
255,50,0,13,1
255,55,0,14,1
255,59,0,15,1
255,63,0,16,1
255,67,0,17,1
255,72,0,18,1
255,76,0,19,1
255,80,0,20,1
255,84,0,21,1
255,89,0,22,1
255,93,0,23,1
255,97,0,24,1
255,102,0,25,1
255,106,0,26,1
255,110,0,27,1
255,114,0,28,1
255,119,0,29,1
255,123,0,30,1
255,127,0,31,1
255,131,0,32,1
255,136,0,33,1
255,140,0,34,1
255,144,0,35,1
255,148,0,36,1
255,153,0,37,1
255,157,0,38,1
255,161,0,39,1
255,165,0,40,1
255,170,0,41,1
255,174,0,42,1
255,178,0,43,1
255,182,0,44,1
255,187,0,45,1
255,191,0,46,2
255,195,0,47,2
255,199,0,48,2
255,204,0,49,2
255,208,0,50,2
255,212,0,51,2
255,216,0,52,2
255,221,0,53,2
255,225,0,54,2
255,229,0,55,2
255,233,0,56,2
255,238,0,57,2
255,242,0,58,2
255,246,0,59,2
255,250,0,60,2
255,255,0,61,2
250,255,0,62,2
246,255,0,63,2
242,255,0,64,2
238,255,0,65,2
233,255,0,66,2
229,255,0,67,2
225,255,0,68,2
221,255,0,69,2
216,255,0,70,2
212,255,0,71,3
208,255,0,72,3
204,255,0,73,3
199,255,0,74,3
195,255,0,75,3
191,255,0,76,3
187,255,0,77,3
182,255,0,78,3
178,255,0,79,3
174,255,0,80,3
170,255,0,81,3
165,255,0,82,3
161,255,0,83,3
157,255,0,84,3
153,255,0,85,3
148,255,0,86,3
144,255,0,87,3
140,255,0,88,3
136,255,0,89,3
131,255,0,90,3
127,255,0,91,3
123,255,0,92,3
118,255,0,93,3
114,255,0,94,3
110,255,0,95,3
106,255,0,96,3
101,255,0,97,3
97,255,0,98,3
93,255,0,99,3
89,255,0,100,3
84,255,0,101,3
80,255,0,102,3
76,255,0,103,3
72,255,0,104,3
67,255,0,105,3
63,255,0,106,3
59,255,0,107,3
55,255,0,108,3
50,255,0,109,3
46,255,0,110,3
42,255,0,111,3
38,255,0,112,3
33,255,0,113,3
29,255,0,114,3
25,255,0,115,3
21,255,0,116,3
16,255,0,117,3
12,255,0,118,3
8,255,0,119,3
4,255,0,120,3
0,255,0,121,3
0,255,4,122,3
0,255,8,123,3
0,255,12,124,3
0,255,17,125,3
0,255,21,126,3
0,255,25,127,3
0,255,29,128,3
0,255,33,129,3
0,255,38,130,3
0,255,42,131,3
0,255,46,132,3
0,255,51,133,3
0,255,55,134,3
0,255,59,135,3
0,255,63,136,3
0,255,67,137,3
0,255,72,138,3
0,255,76,139,3
0,255,80,140,3
0,255,85,141,3
0,255,89,142,3
0,255,93,143,3
0,255,97,144,3
0,255,101,145,3
0,255,106,146,3
0,255,110,147,3
0,255,114,148,3
0,255,119,149,3
0,255,123,150,3
0,255,127,151,3
0,255,131,152,3
0,255,135,153,3
0,255,140,154,3
0,255,144,155,3
0,255,148,156,4
0,255,153,157,4
0,255,157,158,4
0,255,161,159,4
0,255,165,160,4
0,255,169,161,4
0,255,174,162,4
0,255,178,163,4
0,255,182,164,4
0,255,187,165,4
0,255,191,166,4
0,255,195,167,4
0,255,199,168,4
0,255,203,169,4
0,255,208,170,4
0,255,212,171,4
0,255,216,172,4
