r,g,b,name,class
255,0,0,1,0
255,4,0,2,0
255,8,0,3,0
255,12,0,4,0
255,17,0,5,0
255,21,0,6,0
255,25,0,7,0
255,29,0,8,0
255,34,0,9,0
255,38,0,10,0
255,42,0,11,0
255,46,0,12,0
255,51,0,13,0
255,55,0,14,0
255,59,0,15,0
255,63,0,16,0
255,68,0,17,1
255,72,0,18,1
255,76,0,19,1
255,80,0,20,1
255,85,0,21,1
255,89,0,22,1
255,93,0,23,1
255,97,0,24,1
255,102,0,25,1
255,106,0,26,1
255,110,0,27,1
255,114,0,28,1
255,119,0,29,1
255,123,0,30,1
255,127,0,31,1
255,131,0,32,1
255,136,0,33,1
255,140,0,34,1
255,144,0,35,1
255,148,0,36,1
255,153,0,37,1
255,157,0,38,1
255,161,0,39,1
255,165,0,40,1
255,170,0,41,1
255,174,0,42,1
255,178,0,43,1
255,182,0,44,1
255,187,0,45,1
255,191,0,46,1
255,195,0,47,2
255,199,0,48,2
255,204,0,49,2
255,208,0,50,2
255,212,0,51,2
255,216,0,52,2
255,220,0,53,2
255,225,0,54,2
255,229,0,55,2
255,233,0,56,2
255,238,0,57,2
255,242,0,58,2
255,246,0,59,2
255,250,0,60,2
254,255,0,61,2
250,255,0,62,2
246,255,0,63,2
242,255,0,64,2
238,255,0,65,2
233,255,0,66,2
229,255,0,67,2
225,255,0,68,2
221,255,0,69,2
216,255,0,70,2
212,255,0,71,2
208,255,0,72,2
203,255,0,73,2
199,255,0,74,2
195,255,0,75,2
191,255,0,76,2
187,255,0,77,2
182,255,0,78,2
178,255,0,79,2
174,255,0,80,2
169,255,0,81,2
165,255,0,82,2
161,255,0,83,2
157,255,0,84,2
152,255,0,85,2
148,255,0,86,2
144,255,0,87,2
140,255,0,88,2
136,255,0,89,2
131,255,0,90,2
127,255,0,91,2
123,255,0,92,3
119,255,0,93,3
114,255,0,94,3
110,255,0,95,3
106,255,0,96,3
101,255,0,97,3
97,255,0,98,3
93,255,0,99,3
89,255,0,100,3
84,255,0,101,3
80,255,0,102,3
76,255,0,103,3
72,255,0,104,3
67,255,0,105,3
63,255,0,106,3
59,255,0,107,3
55,255,0,108,3
50,255,0,109,3
46,255,0,110,3
42,255,0,111,3
38,255,0,112,3
34,255,0,113,3
29,255,0,114,3
25,255,0,115,3
21,255,0,116,3
16,255,0,117,3
12,255,0,118,3
8,255,0,119,3
4,255,0,120,3
0,255,0,121,3
0,255,4,122,3
0,255,8,123,3
0,255,12,124,3
0,255,17,125,3
0,255,21,126,3
0,255,25,127,3
0,255,29,128,3
0,255,34,129,3
0,255,38,130,3
0,255,42,131,3
0,255,46,132,3
0,255,50,133,3
0,255,55,134,3
0,255,59,135,3
0,255,63,136,3
0,255,68,137,3
0,255,72,138,3
0,255,76,139,3
0,255,80,140,3
0,255,85,141,3
0,255,89,142,3
0,255,93,143,3
0,255,97,144,3
0,255,102,145,3
0,255,106,146,3
0,255,110,147,3
0,255,114,148,3
0,255,119,149,3
0,255,123,150,3
0,255,127,151,3
0,255,131,152,3
0,255,136,153,3
0,255,140,154,3
0,255,144,155,3
0,255,148,156,3
0,255,153,157,3
0,255,157,158,3
0,255,161,159,3
0,255,165,160,3
0,255,170,161,3
0,255,174,162,3
0,255,178,163,3
0,255,182,164,3
0,255,187,165,3
0,255,191,166,3
0,255,195,167,4
0,255,199,168,4
0,255,204,169,4
0,255,208,170,4
0,255,212,171,4
0,255,216,172,4
0,255,221,173,4
0,255,225,174,4
0,255,229,175,4
0,255,233,176,4
0,255,238,177,4
0,255,242,178,4
0,255,246,179,4
0,255,250,180,4
0,254,255,181,4
0,250,255,182,4
0,246,255,183,4
0,242,255,184,4
0,238,255,185,4
0,233,255,186,4
0,229,255,187,4
0,225,255,188,4
0,220,255,189,4
0,216,255,190,4
0,212,255,191,4
0,208,255,192,4
0,203,255,193,4
0,199,255,194,4
0,195,255,195,4
0,191,255,196,4
0,187,255,197,4
0,182,255,198,4
0,178,255,199,4
0,174,255,200,4
0,169,255,201,4
0,165,255,202,4
0,161,255,203,4
0,157,255,204,4
0,152,255,205,4
0,148,255,206,4
0,144,255,207,4
